Data	Produto	Categoria	Regiao	Estado	Vendedor	Quantidade	Preco_Unitario	Valor_Total
2025-09-08	Mouse	Informática	Sul	RS	Bruno	5	80	400
2026-03-09	Teclado	Informática	Sul	RS	Ana	2	150	300
2026-06-02	Notebook	Informática	Sul	SC	Eduardo	4	3500	14000
2025-08-14	Notebook	Informática	Norte	PA	Daniela	7	3500	24500
2025-12-15	Headset	Acessórios	Sul	SC	Carlos	7	250	1750
2025-04-05	Teclado	Informática	Sudeste	RJ	Daniela	2	150	300
2025-02-14	Mouse	Informática	Nordeste	PE	Fernanda	5	80	400
2025-03-22	SSD	Informática	Norte	PA	Eduardo	7	400	2800
2025-03-13	Headset	Acessórios	Norte	AM	Ana	4	250	1000
2025-04-14	Monitor	Informática	Nordeste	BA	Daniela	4	900	3600
2025-06-16	Headset	Acessórios	Centro-Oeste	DF	Carlos	6	250	1500
2025-03-15	Cadeira Gamer	Móveis	Sudeste	MG	Eduardo	5	1200	6000
2025-06-17	Teclado	Informática	Norte	RO	Daniela	4	150	600
2025-11-29	Webcam	Acessórios	Nordeste	CE	Ana	4	220	880
2025-10-02	Monitor	Informática	Sul	PR	Ana	7	900	6300
2025-08-06	Monitor	Informática	Norte	RO	Fernanda	6	900	5400
2025-05-27	SSD	Informática	Centro-Oeste	DF	Carlos	8	400	3200
2026-03-15	Teclado	Informática	Sudeste	MG	Eduardo	5	150	750
2026-06-06	Webcam	Acessórios	Nordeste	BA	Daniela	3	220	660
2025-06-13	Mouse	Informática	Sul	SC	Fernanda	3	80	240
2026-01-26	Webcam	Acessórios	Norte	PA	Eduardo	7	220	1540
2025-04-28	SSD	Informática	Norte	AM	Fernanda	1	400	400
2026-03-22	Headset	Acessórios	Nordeste	BA	Bruno	5	250	1250
2026-05-28	SSD	Informática	Sul	RS	Bruno	5	400	2000
2025-06-06	Mouse	Informática	Nordeste	CE	Carlos	4	80	320
2025-11-28	Teclado	Informática	Norte	RO	Daniela	1	150	150
2025-09-03	Notebook	Informática	Sul	PR	Ana	5	3500	17500
2026-05-13	Monitor	Informática	Norte	PA	Ana	2	900	1800
2025-06-19	Teclado	Informática	Sudeste	MG	Carlos	8	150	1200
2025-11-16	Webcam	Acessórios	Sudeste	MG	Daniela	4	220	880
2025-05-04	Cadeira Gamer	Móveis	Centro-Oeste	DF	Bruno	8	1200	9600
2025-08-24	Monitor	Informática	Sul	PR	Eduardo	1	900	900
2025-08-23	Monitor	Informática	Sul	SC	Ana	1	900	900
2025-10-13	Notebook	Informática	Nordeste	BA	Fernanda	4	3500	14000
2026-04-30	SSD	Informática	Sudeste	MG	Bruno	3	400	1200
2025-04-10	SSD	Informática	Centro-Oeste	GO	Fernanda	2	400	800
2026-04-24	Webcam	Acessórios	Nordeste	PE	Fernanda	7	220	1540
2025-12-14	Notebook	Informática	Sul	SC	Ana	7	3500	24500
2025-05-24	Monitor	Informática	Sudeste	SP	Daniela	8	900	7200
2025-03-19	Teclado	Informática	Nordeste	PE	Daniela	4	150	600
2025-04-06	Mouse	Informática	Sul	RS	Bruno	1	80	80
2025-08-07	Teclado	Informática	Centro-Oeste	MT	Daniela	8	150	1200
2026-02-04	Notebook	Informática	Sudeste	RJ	Carlos	1	3500	3500
2025-06-08	SSD	Informática	Nordeste	PE	Bruno	8	400	3200
2025-11-18	Headset	Acessórios	Sudeste	SP	Ana	1	250	250
2025-02-28	Notebook	Informática	Norte	AM	Eduardo	3	3500	10500
2025-08-29	Mouse	Informática	Sudeste	SP	Daniela	2	80	160
2025-03-25	Mouse	Informática	Norte	PA	Daniela	1	80	80
2025-09-02	Cadeira Gamer	Móveis	Nordeste	BA	Carlos	6	1200	7200
2026-04-14	Webcam	Acessórios	Sudeste	MG	Carlos	5	220	1100
2025-03-17	Mouse	Informática	Sul	PR	Eduardo	2	80	160
2025-12-24	Monitor	Informática	Norte	AM	Ana	3	900	2700
2026-03-25	Monitor	Informática	Nordeste	PE	Eduardo	3	900	2700
2025-11-03	Headset	Acessórios	Norte	RO	Fernanda	1	250	250
2025-04-20	Mouse	Informática	Sudeste	RJ	Fernanda	2	80	160
2025-12-18	Teclado	Informática	Nordeste	PE	Bruno	4	150	600
2025-02-22	Headset	Acessórios	Norte	AM	Ana	5	250	1250
2025-12-08	Webcam	Acessórios	Nordeste	BA	Bruno	1	220	220
2026-03-14	Headset	Acessórios	Sudeste	MG	Eduardo	8	250	2000
2025-02-06	Notebook	Informática	Sul	SC	Carlos	3	3500	10500
2025-11-12	Teclado	Informática	Centro-Oeste	GO	Carlos	1	150	150
2025-04-16	Notebook	Informática	Nordeste	BA	Carlos	4	3500	14000
2025-08-31	Webcam	Acessórios	Norte	RO	Bruno	3	220	660
2025-12-07	Teclado	Informática	Centro-Oeste	GO	Daniela	3	150	450
2026-01-27	Monitor	Informática	Nordeste	BA	Ana	2	900	1800
2025-12-25	SSD	Informática	Sudeste	SP	Carlos	8	400	3200
2026-02-13	Monitor	Informática	Sudeste	SP	Carlos	4	900	3600
2026-06-06	Headset	Acessórios	Sul	PR	Daniela	6	250	1500
2025-07-02	Cadeira Gamer	Móveis	Sul	SC	Eduardo	5	1200	6000
2025-12-20	Headset	Acessórios	Sul	SC	Fernanda	7	250	1750
2026-01-30	Cadeira Gamer	Móveis	Centro-Oeste	DF	Eduardo	2	1200	2400
2025-01-02	Monitor	Informática	Nordeste	BA	Eduardo	7	900	6300
2025-12-05	Monitor	Informática	Nordeste	PE	Eduardo	2	900	1800
2026-06-04	Cadeira Gamer	Móveis	Sul	RS	Carlos	5	1200	6000
2025-05-11	Webcam	Acessórios	Nordeste	PE	Bruno	5	220	1100
2025-11-05	Webcam	Acessórios	Centro-Oeste	DF	Daniela	3	220	660
2026-03-17	Notebook	Informática	Nordeste	PE	Eduardo	4	3500	14000
2025-08-07	Cadeira Gamer	Móveis	Centro-Oeste	MT	Eduardo	8	1200	9600
2025-10-18	SSD	Informática	Sudeste	MG	Eduardo	2	400	800
2025-08-19	Cadeira Gamer	Móveis	Sul	SC	Bruno	5	1200	6000
2026-05-02	Teclado	Informática	Sul	SC	Eduardo	4	150	600
2026-01-29	Mouse	Informática	Centro-Oeste	MT	Daniela	4	80	320
2025-04-20	Webcam	Acessórios	Sudeste	SP	Daniela	1	220	220
2025-02-21	Monitor	Informática	Sudeste	MG	Eduardo	8	900	7200
2026-04-21	Monitor	Informática	Sul	PR	Fernanda	3	900	2700
2026-04-02	Cadeira Gamer	Móveis	Centro-Oeste	DF	Bruno	7	1200	8400
2025-10-11	SSD	Informática	Centro-Oeste	MT	Eduardo	4	400	1600
2025-03-21	SSD	Informática	Sudeste	RJ	Fernanda	8	400	3200
2025-11-24	Headset	Acessórios	Sudeste	RJ	Eduardo	6	250	1500
2026-01-28	Mouse	Informática	Sudeste	SP	Fernanda	4	80	320
2026-02-22	Teclado	Informática	Sudeste	SP	Carlos	7	150	1050
2026-03-07	SSD	Informática	Centro-Oeste	GO	Daniela	4	400	1600
